title,name
做好规划不当月光族不做守财奴,噪音
做到以下三点，汽车保费想不便宜都难,噪音
做车险代理的前景如何 谊信合让你的财富事业迈上新高度,噪音
做保险想要高业绩，那就每天晚上8:30，来抢投保意向客户啊！,噪音
坐顺风车出事了，车险理赔吗,噪音
坐飞机必须买保险？航意险适合哪些人？,产品销售
作者：乐安县人民法院 刘卫兰  发布时间：2018-01-03 10:35:07,噪音
"作文《我的妈妈2018年仍在保险公司上班》,妈妈的回复却被无数人点赞！",噪音
作为保险从业者我必须补充一下，附加住院医疗险一定一定要买！！几千上万的大病险你都掏了钱就不要再抠搜这点消费险了，说到底住院医疗的出险率比大病和意外都要高[并不简单][并不简单][并不简单] 不要看它是消费险就舍不得，随便发生一次住院，你几年的保费都给你赔出来了[并不简单],噪音
左权县人民政府金融工作办公室2017年统筹整合财政资金项目公示,噪音
昨天元旦婚礼上，新郎新娘交换的竟是保单！2018夫妻互保，让爱永恒！,噪音
昨天下午到沙面教堂坐了一会，当牧师开始逼逼物种起源如何被推翻时，我听不下去就出来了。我也注意到，那个时段，离开的听众是个小高峰。。。//@广州城堡堡主: 各大传销公司、保险公司摆出来忽悠傻逼的大湿[偷笑]//@想改个好昵称:陈安之：总裁思维。[doge],噪音
昨天突然头晕呕吐到入院，全程是李大仁在跑，交费体检报告倒水纸巾伺候，幸好无什么大问题，“别怕，有我在”一直在耳边，未做检查前甚至在努力回忆自己买了医疗险没，重疾买了多少？幸好一切正常。感恩有你，夫复何求。 ​,噪音
昨天车险报案比平常翻倍,消费服务
昨日市场回顾及今日市场展望,股市研报
遵义市民政局：政策性农房灾害保险走出新路子,行业
遵化法院：推行诉前鉴定机制，降低诉讼成本提效率,行业
醉酒司机耍狠打交警 除了行政拘留还得刑拘,噪音
醉酒、服用国家管制的精神药品或者麻醉药品后驾驶机动车发生交通事故的，保险公司仍应承担支付交强险保险金的义务。  ​,噪音
最炙热的表白就是把我写进你保单的受益人！投保【加裕智倍保】全家享优惠,产品销售
最新调查 | 阻碍你买保险的不过这6道门槛！,噪音
最新数据揭开A股“画风” 各路主力疯狂布局,股市研报
最新今日各上市公司重大利好 万科A（行情）去年销售额约5300亿,股市研报
最新！保监会发布“开门红”保险销售的风险提示！,监管
最深刻的认知：买乐视的和买茅台的都是价值投资者！,股市研报
最全！报名聚划算常见问题解答,噪音
"最强家庭意外险,每天一元钱，保障全家三代6个人",产品销售
"最近在跟某朋友聊天，时常说到自己的老公婆子妈如何欺凌自己，老公如何自私自利真的听得自己都义愤填膺好想狠狠的甩她老公几巴掌，感觉完全就不是个男人！生了小孩三个月婆子妈就催人家出去上班挣钱，上班了每个月工资还得上交两千给老公存钱买车！自己要去学驾照自己掏钱，老公却一点支持不理解一味的催拿当月的生活费！本来就没啥子存款他老公却舍得拿钱给他妈买保险，给他妹买车票！我朋友买个一百多块钱的牛肉干都怕带回家被老公吵，网上买个三百多的大衣大了想退他老公说不退给他妹妹穿...经常做梦都梦到老公问自己要钱梦到自己离婚！我的天，这个压力是有多大？
我劝我朋友离婚，解脱！她却舍不得娃儿！哎，我去，这种自私自利的家庭拿来做啥子！你说老公屋头条件好有钱这样嫌弃自己还好，关键是老公长得不咋地屋头条件也不咋滴凭啥子啊！一天嫌弃自己的女人不挣钱，你男人是拿来做啥子的？你还要靠一个女人支撑起整个家吗？我去..！",噪音
最近买保险要小心：忽悠太多，连保监会都看不下去了！,监管
最后一批90后已经成年，第一批85后已经被拒保！,噪音
最后一批80后也即将错过最佳投保年龄,噪音
最后解决了吗？//@L_筱爱:纪录片里，这个女的是云南的，没有医疗保险，家里亲戚朋友都是没钱的，医生能省的都帮忙省了，隔壁床婆婆也伸出了援助之手，这个世界还是有爱的,噪音
最高院：交警以车辆违章未处理不予年审违法！（附：车辆未年检，发生交通事故保险公司能拒赔不？）,噪音
最高可获赔付金100万元,行业
最高法院关于交通事故的30个实用问答（附司法解释）,噪音
最高法院：关于交通事故的30个实用问题！,噪音
最被看好十大港股：瑞信升华润啤酒目标价至34.5元,股市研报
最榜单：最低调的新高——中国石化,噪音
组织参加全省公用企业诚信经营公平竞争行政指导工作视频会议,噪音
奏响精准扶贫旋律：中国太保2018“乐行天下”新年音乐会在沪举行,其他相关报道
走进新时代 担当新使命 开启新征程——灌云法院2017年度工作回顾,噪音
走进北航——大象保险创业者守护计划启动,其他相关报道
走红社交媒体的“球哥”鲍尔兄弟加盟立陶宛职业男篮,噪音
总有些大爷一样的存在，你当二手买卖还有快递意外险呢。一买一卖的，快递风险还要我承担么。我老妈每天，辛辛苦苦包的快递从来没有出现过问题好么。 ​,噪音
总机打过去也不知道找谁啊，但是他们再打来时候，你就会相信他们是协和的了，然后说你涉嫌串谋骗保……我现在根本都不接电话，除了滴滴司机//@北京猫妖：可是这个号码确实是协和的总机。估计是保险公司冲业绩给你投了保。,消费服务
自杀条款为什么以2年为限,噪音
自杀保险也赔？看看保险法怎么说,噪音
自然科学与宗教哲学灵魂 /郭国汀律师专栏,噪音
自驾游客北川突发病 “120”从天上来实施救援,噪音
自己银行帐户的钱，保险公司和银行在什么情况下会自动划走,噪音
自己给自己涨工资是真的吗？,噪音
自从买了车，很多东西都要学！交保险，年检，出险报警等等。今天去补漆，为了省40块dd费，自己坐车公交再步行到达4s店，然后取车，花了2.5h，然后开车回公司20分钟的车程花了一个钟因为到处挖路，回到公司又要准备回家看着人家拉网线，然后又要从家里回公司打卡下班[允悲][允悲][允悲]btw我的车都是别 ​,噪音
自保件1000多如何退保,噪音
自2018年1月1日起，全省统一实行城乡居民基本医疗保险制度，基金管理与业务经办工作由人社部门负责，卫生计生部门不再承担原新农合基金管理、业务经办等工作。 ​,噪音
紫金一女子被恙虫咬伤住院 保险公司拒绝理赔,消费服务
紫金财产保险股份云南分公司2018年招聘简章（5500元/月，五险一金，正式员工）,噪音
紫金财产保险股份有限公司云南分公司2018年招聘简章（5500元/月，五险一金，正式员工）,噪音
淄博人出游注意！这8家旅行社尚未投保责任险！,噪音
淄博：正含着硬币玩妈妈一呵斥 男童将硬币吞下肚,噪音
资讯||保监会有关部门负责人就开展人身保险治理销售乱象打击非法经营专项行动答记者问,监管
资色｜刘士余：2018年要以查办大案要案为重点,噪音
资金面宽松叠加中美贸易摩擦影响回落 国债期货收涨 国开收益率超跌反弹,噪音
资金流向丨上午主力资金流入这些个股 中兴通讯居首,股市研报
资金流向丨53亿主力资金近三日撤出超涨概念股,股市研报
资管增值税正式开征 引保险资管机构调整产品设计加税负成本,监管
资管增值税影响下沉 保险资管调整产品设计,监管
资管业洗牌：保险产品优势凸显 分红型年金险成“爆款”,产品销售
资管新规和你我到底有什么关系？,监管
资管新规冲击渐次显现 私募“日子更不好过了”,噪音
资管产品增值税开征，你的收益受影响了吗？,监管
资管产品违法买卖证券的行政责任及其承担丨「LEX 分享阅读」,噪音
资产荒、低利率，险资何去何从？——保险资金另类投资管理研究,行业
资产管理行业与其产品解读分析,噪音
"资产传承，保险信托是最靠谱的选择。

信托一般1000万起，家族信托3000万起。平安保险信托100万同样为您提供尊贵体验！梦的感觉！ ​",产品销售
资本市场国际化或加速,噪音
资本风口上的互联网车险：车车车险报价惹人疑,行业
涿州车主注意！今年交强险有变！不注意的话不但扣分还得罚款！,噪音
拙讷·大道至简 | 中原寿险组织发展高峰论坛,其他相关报道
准备期长达10年 税延养老险试点爽约,行业
追赔保险公司的时候才发现原来我一天赚这么多钱啊 膨胀 ​,噪音
撞上豪车法拉利，我是否该赔上我的一生？,噪音
撞了辆红色玛莎拉蒂，车主要请我吃饺子，怎么办！在线等！挺急的,产品销售
装修保险让你和说倒就倒的装修公司说再见！,噪音
装此神器到车上，insurer收集驾驶数据，数据质量影响续保保费，要省点钱真不容易，以隐私交换[黑线] ​​​,噪音
庄河市医疗保险中心和新型农村合作医疗管理中心网络升级改造的通知,噪音
转债持仓格局生变 基金悄然入场增持－财经频道,噪音
转移财产又借他人名义高消费 一老赖因拒执罪获刑两年,噪音
转让自己家用起亚福瑞迪轿车,噪音
转发告诉身边人，全市32家医院看病不用带钱包，福田多家医院可用,噪音
转：2018“下注中国”十大核心资产：中国平安,经营管理
专业月嫂、育儿嫂、保姆就在陇南贝尔曼母婴服务有限公司,噪音
专业提示：保单检视必须做到的几个步骤,噪音
专业人士告诉你，为什么我不买保险,噪音
专业律师手把手教你如何买车险,产品销售
专业健康险市场掀“硝烟战” 平安重磅升级中端产品欲做领头羊,产品销售
专业高效 雪中送炭 富德生命人寿三门峡中支诚信理赔30万,消费服务
"专业测量甲醛?
给家人保健康?  http://t.cn/RHgzBtZ ​",噪音
专项治理人身保险乱象,监管
